TRADE:
Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation
ACTIVA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
APAGAR	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
APROBADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
APRUEBA	char	no	40	     	     	yes	no	yes	Modern_Spanish_CI_AS
AUTOREQUI	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
AUTORET	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
AUTORIZA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
AUTORIZADO	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
AUTRETFAC	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
BANCOPRV	char	no	9	     	     	yes	no	yes	Modern_Spanish_CI_AS
BASEIVA	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
BRUTO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
CALICA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
CALRETE	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
CALRETICA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
CARGADA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
CIUDADCLI	char	no	30	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODCAJA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODCC	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODCTACXP	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODICA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODIGOCTA	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODINT	numeric	no	5	4    	0    	yes	(n/a)	(n/a)	NULL
CODMONEDA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODRETE	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODTCXP	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
CODVEN	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
CONIVA	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
CONSINV	numeric	no	9	10   	0    	yes	(n/a)	(n/a)	NULL
CONTADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
CTRLCORIG	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
CTRTOPES	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
D1FECHA1	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
D1FECHA2	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
D1FECHA3	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
D2FECHA1	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
D2FECHA2	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
D2FECHA3	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
D3FECHA1	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
D3FECHA2	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
D3FECHA3	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
DCTOORD	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
DCTOPMP	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
DCTOPRV	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
DCTORCM	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
DCTOREQUI	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
DCTORESER	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
DECIMALES	numeric	no	5	1    	0    	yes	(n/a)	(n/a)	NULL
DESCARGADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
DESCECOL	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
DESCTOPP	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
DESCUENTO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
DIASPDPP	numeric	no	5	5    	0    	yes	(n/a)	(n/a)	NULL
DIASPLAZO	numeric	no	5	5    	0    	yes	(n/a)	(n/a)	NULL
DIR	char	no	200	     	     	yes	no	yes	Modern_Spanish_CI_AS
DSCTOCOM	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
ENVIADOA	char	no	60	     	     	yes	no	yes	Modern_Spanish_CI_AS
FACTORSUS	numeric	no	9	17   	7    	yes	(n/a)	(n/a)	NULL
FACTURADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
FECCAJA	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECHA	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECHA1	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECHA2	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECHA3	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECHAING	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECHAMOD	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECING	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FECMOD	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FHAUTORIZA	datetime	no	8	     	     	yes	(n/a)	(n/a)	NULL
FLETES	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
FORMAPAGO	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
HORA	char	no	8	     	     	yes	no	yes	Modern_Spanish_CI_AS
IMPORTAC	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
IMPRESO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
INTEGRADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
IVABRUTO	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
MARCDIST	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
MEDIOPAG	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
MULTIMON	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
NIT	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
NITCAJA	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
NITRESP	char	no	15	     	     	yes	no	yes	Modern_Spanish_CI_AS
NOTA	char	no	250	     	     	yes	no	yes	Modern_Spanish_CI_AS
NRODCTO	char	no	10	     	     	no	no	no	Modern_Spanish_CI_AS
NROSOLI	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
NUMCUOTAS	numeric	no	5	2    	0    	yes	(n/a)	(n/a)	NULL
NUMEROCRP	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
ORDEN	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
ORIGEN	char	no	3	     	     	no	no	no	Modern_Spanish_CI_AS
OTRAMON	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
PAIS	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
PASSWORDAU	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
PASSWORDIN	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
PASSWORDMO	char	no	20	     	     	yes	no	yes	Modern_Spanish_CI_AS
PESODOLAR	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
PGIVA	numeric	no	5	7    	3    	yes	(n/a)	(n/a)	NULL
PLANEADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
PORAIU	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
PRETENIVA	numeric	no	5	7    	3    	yes	(n/a)	(n/a)	NULL
PRETICA	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
PRETIVA	numeric	no	5	7    	4    	yes	(n/a)	(n/a)	NULL
PRIORIDAD	numeric	no	5	1    	0    	yes	(n/a)	(n/a)	NULL
REGSIMP	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
REMIFACT	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
REMISION	char	no	10	     	     	yes	no	yes	Modern_Spanish_CI_AS
RESERVADO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
RESPICA	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
RESPRETE	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
RETEVAL	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
RTEFTE	numeric	no	5	6    	2    	yes	(n/a)	(n/a)	NULL
SINIVA	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
STADSINCRO	bit	no	1	     	     	yes	(n/a)	(n/a)	NULL
TCAMBIO	numeric	no	9	15   	4    	yes	(n/a)	(n/a)	NULL
TCAMBIOMM	numeric	no	9	17   	7    	yes	(n/a)	(n/a)	NULL
TCR	numeric	no	9	15   	2    	yes	(n/a)	(n/a)	NULL
TIPOCAR	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOCXP	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTO	char	no	2	     	     	no	no	no	Modern_Spanish_CI_AS
TIPODCTOPC	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTORE	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTOSI	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPODCTOTR	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOMONEDA	char	no	1	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOMVTO	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOPER	char	no	2	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOREQ	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
TIPOVTA	char	no	5	     	     	yes	no	yes	Modern_Spanish_CI_AS
TOPE	numeric	no	9	17   	2    	yes	(n/a)	(n/a)	NULL
TRANSPORTA	char	no	60	     	     	yes	no	yes	Modern_Spanish_CI_AS
